,DJI
2/1/1970,809.200012
5/1/1970,811.309998
6/1/1970,803.659973
7/1/1970,801.809998
8/1/1970,802.070007
9/1/1970,798.109985
12/1/1970,790.52002
13/1/1970,788.01001
14/1/1970,787.159973
15/1/1970,785.039978
16/1/1970,782.599976
19/1/1970,776.070007
20/1/1970,777.849976
21/1/1970,782.27002
22/1/1970,786.099976
23/1/1970,775.539978
26/1/1970,768.880005
27/1/1970,763.98999
28/1/1970,758.840027
29/1/1970,748.349976
30/1/1970,744.059998
2/2/1970,746.440002
3/2/1970,757.460022
4/2/1970,754.48999
5/2/1970,750.26001
6/2/1970,752.77002
9/2/1970,755.679993
10/2/1970,746.630005
11/2/1970,757.330017
12/2/1970,755.609985
13/2/1970,753.299988
16/2/1970,753.700012
17/2/1970,747.429993
18/2/1970,756.799988
19/2/1970,757.919983
20/2/1970,757.460022
24/2/1970,754.419983
25/2/1970,768.280029
26/2/1970,764.450012
27/2/1970,777.590027
2/3/1970,780.22998
3/3/1970,787.419983
4/3/1970,788.150024
5/3/1970,787.549988
6/3/1970,784.119995
9/3/1970,778.309998
10/3/1970,779.700012
11/3/1970,778.119995
12/3/1970,776.469971
13/3/1970,772.109985
16/3/1970,765.049988
17/3/1970,767.419983
18/3/1970,767.950012
19/3/1970,764.97998
20/3/1970,763.659973
23/3/1970,763.599976
24/3/1970,773.76001
25/3/1970,790.130005
26/3/1970,791.049988
30/3/1970,784.650024
31/3/1970,785.570007
1/4/1970,792.039978
2/4/1970,792.369995
3/4/1970,791.840027
6/4/1970,791.179993
7/4/1970,791.640015
8/4/1970,791.640015
9/4/1970,792.5
10/4/1970,790.460022
13/4/1970,785.900024
14/4/1970,780.559998
15/4/1970,782.599976
16/4/1970,775.869995
17/4/1970,775.940002
20/4/1970,775.869995
21/4/1970,772.51001
22/4/1970,762.609985
23/4/1970,750.590027
24/4/1970,747.289978
27/4/1970,735.150024
28/4/1970,724.330017
29/4/1970,737.390015
30/4/1970,736.070007
1/5/1970,733.630005
4/5/1970,714.559998
5/5/1970,709.73999
6/5/1970,718.390015
7/5/1970,723.070007
8/5/1970,717.72998
11/5/1970,710.070007
12/5/1970,704.590027
13/5/1970,693.840027
14/5/1970,684.789978
15/5/1970,702.219971
18/5/1970,702.809998
19/5/1970,691.400024
20/5/1970,676.549988
21/5/1970,665.25
22/5/1970,662.169983
25/5/1970,641.359985
26/5/1970,631.159973
27/5/1970,663.200012
28/5/1970,684.150024
29/5/1970,700.440002
1/6/1970,710.359985
2/6/1970,709.609985
3/6/1970,713.859985
4/6/1970,706.530029
5/6/1970,695.030029
8/6/1970,700.22998
9/6/1970,700.159973
10/6/1970,694.349976
11/6/1970,684.419983
12/6/1970,684.210022
15/6/1970,687.359985
16/6/1970,706.26001
17/6/1970,704.679993
18/6/1970,712.690002
19/6/1970,720.429993
22/6/1970,716.109985
23/6/1970,698.109985
24/6/1970,692.289978
25/6/1970,693.590027
26/6/1970,687.840027
29/6/1970,682.909973
30/6/1970,683.530029
1/7/1970,687.640015
2/7/1970,689.140015
6/7/1970,675.659973
7/7/1970,669.359985
8/7/1970,682.090027
9/7/1970,692.77002
10/7/1970,700.099976
13/7/1970,702.219971
14/7/1970,703.039978
15/7/1970,711.659973
16/7/1970,723.440002
17/7/1970,735.080017
20/7/1970,733.909973
21/7/1970,722.070007
22/7/1970,724.669983
23/7/1970,732.679993
24/7/1970,730.219971
27/7/1970,730.080017
28/7/1970,731.450012
29/7/1970,735.559998
30/7/1970,734.72998
31/7/1970,734.119995
3/8/1970,722.960022
4/8/1970,725.900024
5/8/1970,724.809998
6/8/1970,722.820007
7/8/1970,725.700012
10/8/1970,713.919983
11/8/1970,712.549988
12/8/1970,710.640015
13/8/1970,707.349976
14/8/1970,710.840027
17/8/1970,709.059998
18/8/1970,716.659973
19/8/1970,723.98999
20/8/1970,729.599976
21/8/1970,745.409973
24/8/1970,759.580017
25/8/1970,758.969971
26/8/1970,760.469971
27/8/1970,759.789978
28/8/1970,765.809998
31/8/1970,764.580017
1/9/1970,758.150024
2/9/1970,756.640015
3/9/1970,765.27002
4/9/1970,771.150024
8/9/1970,773.140015
9/9/1970,766.429993
10/9/1970,760.75
11/9/1970,761.840027
14/9/1970,757.119995
15/9/1970,750.549988
16/9/1970,754.309998
17/9/1970,757.669983
18/9/1970,758.48999
21/9/1970,751.919983
22/9/1970,747.469971
23/9/1970,754.380005
24/9/1970,759.309998
25/9/1970,761.77002
28/9/1970,758.969971
29/9/1970,760.880005
30/9/1970,760.679993
1/10/1970,760.679993
2/10/1970,766.159973
5/10/1970,776.700012
6/10/1970,782.450012
7/10/1970,783.679993
8/10/1970,777.039978
9/10/1970,768.690002
12/10/1970,764.23999
13/10/1970,760.059998
14/10/1970,762.72998
15/10/1970,767.869995
16/10/1970,763.349976
19/10/1970,756.5
20/10/1970,758.830017
21/10/1970,759.650024
22/10/1970,757.869995
23/10/1970,759.380005
26/10/1970,756.429993
27/10/1970,754.450012
28/10/1970,755.960022
29/10/1970,753.559998
30/10/1970,755.609985
2/11/1970,758.01001
3/11/1970,768.070007
4/11/1970,770.809998
5/11/1970,771.559998
6/11/1970,771.969971
9/11/1970,777.659973
10/11/1970,777.380005
11/11/1970,779.5
12/11/1970,768
13/11/1970,759.789978
16/11/1970,760.130005
17/11/1970,760.469971
18/11/1970,754.23999
19/11/1970,755.820007
20/11/1970,761.570007
23/11/1970,767.52002
24/11/1970,772.72998
25/11/1970,774.710022
27/11/1970,781.349976
30/11/1970,794.090027
1/12/1970,794.289978
2/12/1970,802.640015
3/12/1970,808.530029
4/12/1970,816.059998
7/12/1970,818.659973
8/12/1970,815.099976
9/12/1970,815.23999
10/12/1970,821.059998
11/12/1970,825.919983
14/12/1970,823.179993
15/12/1970,819.619995
16/12/1970,819.070007
17/12/1970,822.150024
18/12/1970,822.77002
21/12/1970,821.539978
22/12/1970,822.77002
23/12/1970,823.109985
24/12/1970,828.380005
28/12/1970,830.909973
29/12/1970,842
30/12/1970,841.320007
31/12/1970,838.919983
4/1/1971,830.570007
5/1/1971,835.77002
6/1/1971,837.969971
7/1/1971,837.830017
8/1/1971,837.01001
